"plant"	"frugivore"	"w"
"357"	"8808"	"Unidentified"	0
"358"	"8814"	"Columba.palumbus"	1
"359"	"8814"	"Garrulus.glandarius"	4
"360"	"8814"	"Turdus.merula"	25
"361"	"8814"	"Phoenicurus.ochruros"	32
"362"	"8814"	"Erithacus.rubecula"	78
"363"	"8814"	"Parus.ater"	5
"364"	"8814"	"Fringilla.coelebs"	3
"365"	"8814"	"Sylvia.conspicillata"	0
"366"	"8814"	"Sylvia.atricapilla"	0
"367"	"8814"	"Turdus.viscivorus"	1
"368"	"8814"	"Sylvia.communis"	8
"369"	"8814"	"Sylvia.melanocephala"	0
"370"	"8814"	"Sylvia.borin"	1
"371"	"8814"	"Parus.caeruleus"	1
"372"	"8814"	"Phoenicurus.phoenicurus"	0
"373"	"8814"	"Parus.cristatus"	0
"374"	"8814"	"Parus.major"	0
"375"	"8814"	"Sylvia.cantillans"	1
"376"	"8814"	"Sitta.europaea"	1
"377"	"8814"	"Dendrocopos.major"	0
"378"	"8814"	"Unidentified"	0
"379"	"8865"	"Columba.palumbus"	0
"380"	"8865"	"Garrulus.glandarius"	0
"381"	"8865"	"Turdus.merula"	5
"382"	"8865"	"Phoenicurus.ochruros"	47
"383"	"8865"	"Erithacus.rubecula"	3
"384"	"8865"	"Parus.ater"	41
"385"	"8865"	"Fringilla.coelebs"	14
"386"	"8865"	"Sylvia.conspicillata"	0
"387"	"8865"	"Sylvia.atricapilla"	0
"388"	"8865"	"Turdus.viscivorus"	9
"389"	"8865"	"Sylvia.communis"	13
"390"	"8865"	"Sylvia.melanocephala"	0
"391"	"8865"	"Sylvia.borin"	2
"392"	"8865"	"Parus.caeruleus"	24
"393"	"8865"	"Phoenicurus.phoenicurus"	7
"394"	"8865"	"Parus.cristatus"	0
"395"	"8865"	"Parus.major"	0
"396"	"8865"	"Sylvia.cantillans"	1
"397"	"8865"	"Sitta.europaea"	7
"398"	"8865"	"Dendrocopos.major"	0
"399"	"8865"	"Unidentified"	0
